2017-08-31_22:18:10('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('%bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-08-31_22:20:27(('SUCCESS: Page', '"Severity 1 workflow" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '113/664')
2017-08-31_22:20:28(('SUCCESS: Page', '"Failed to start repository agent" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '114/664')
2017-08-31_22:20:29(('SUCCESS: Page', '"[dbo].[Backup.Model.JobSessions]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '115/664')
2017-08-31_22:20:30(('SUCCESS: Page', '"VeeamAgent Performance Log Parser (CPP)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '116/664')
2017-08-31_22:20:31(('SUCCESS: Page', '"Failed to parse "." (System.Exception)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '117/664')
2017-08-31_22:20:31(('SUCCESS: Page', '"FAQ: открытые шпаргалки" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '118/664')
2017-08-31_22:20:35(('SUCCESS: Page', '"Vddk agent crashes after upgrading to patch 2" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '119/664')
2017-08-31_22:20:35(('SUCCESS: Page', '"Veeam Agent for Linux most common issues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '120/664')
2017-08-31_22:20:36(('SUCCESS: Page', '"Veeam Endpoint backup fails on \'System Reserved\' partition" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '121/664')
2017-08-31_22:20:43(('SUCCESS: Page', '"How to operate jobs using Rest API" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '122/664')
2017-08-31_22:20:44(('SUCCESS: Page', '"VP210 Summary (Management Pack)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '123/664')
2017-08-31_22:20:44(('SUCCESS: Page', '"Other-OS FLR troubleshooting tool" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '124/664')
2017-08-31_22:20:45(('SUCCESS: Page', '"[dbo].[Notification.MailSettings]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '125/664')
2017-08-31_22:20:47(('SUCCESS: Page', '"Linux- or VAL-related KBs" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '126/664')
2017-08-31_22:20:47(('SUCCESS: Page', '"Log Diving: Job Options" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '127/664')
2017-08-31_22:20:48(('SUCCESS: Page', '"VDDK performance tester" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '128/664')
2017-08-31_22:20:49(('SUCCESS: Page', '"SMTPDummy" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '129/664')
2017-08-31_22:20:49(('SUCCESS: Page', '"DB restore with SQLCMD" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '130/664')
2017-08-31_22:20:50(('SUCCESS: Page', '"Basic Network Troubleshooting" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '131/664')
2017-08-31_22:20:51(('SUCCESS: Page', '"Kaseya: Arithmetic overflow error converting expression to datatype bigint" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '132/664')
2017-08-31_22:20:52(('SUCCESS: Page', '"Backup job to a CIFs share fails with "The specified network name is no longer available" after merge is complete and renameFileWithRollback command is sent" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '133/664')
2017-08-31_22:20:52(('SUCCESS: Page', '"DB administration via SQLCMD" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '134/664')
2017-08-31_22:20:53(('SUCCESS: Page', '"Heartbeat test fails for Linux VMs in SureBackup" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '135/664')
2017-08-31_22:20:54(('SUCCESS: Page', '"9,5 Upgrade fails with Unsupported SQL Version" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '136/664')
2017-08-31_22:20:54(('ERROR: Page', '"Vmware Replica Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '136/664')
2017-08-31_22:20:55(('SUCCESS: Page', '"Collecting Windows events" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '137/664')
2017-08-31_22:20:55('ERROR: Failed on page:', 'Veeam B&R database fields', 'from', 'MediaWIKI', 'with error:')
2017-08-31_22:20:55<class 'requests.exceptions.HTTPError'>
2017-08-31_22:20:56(('SUCCESS: Page', '"VMware vSphere 5.1 Release and Build Number History" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '138/664')
2017-08-31_22:20:56(('SUCCESS: Page', '"Creation of Virtual Lab fails with "The object has already been deleted or has not been completely created"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '139/664')
2017-08-31_22:20:57(('SUCCESS: Page', '"10. Useful Tools To Work With Databases" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '140/664')
2017-08-31_22:20:58(('SUCCESS: Page', '"Deployment lab: extended edition" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '141/664')
2017-08-31_22:21:07(('SUCCESS: Page', '"All KB/UG/BP articles by themes" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '142/664')
2017-08-31_22:21:08(('SUCCESS: Page', '"Understanding VeeamGuestHelper RPC connectivity" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '143/664')
2017-08-31_22:21:08(('SUCCESS: Page', '"Unified lecture template and guidlines" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '144/664')
2017-08-31_22:21:09(('SUCCESS: Page', '"Shared resource credentials" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '145/664')
2017-08-31_22:21:10(('SUCCESS: Page', '"All Collectors become unavailable in SCOM" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '146/664')
2017-08-31_22:21:10(('SUCCESS: Page', '"Veeam PSS hints" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '147/664')
2017-08-31_22:21:11(('SUCCESS: Page', '"VEX onDate" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '148/664')
2017-08-31_22:21:12(('SUCCESS: Page', '"Useful contacts and mailing lists" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '149/664')
2017-08-31_22:21:13(('SUCCESS: Page', '"Issue logging in to Veeam Managed Backup Portal with accounts added to an AD group that is granted the Veeam Backup Administrator role" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '150/664')
2017-08-31_22:21:13(('SUCCESS: Page', '"Kaseya: Support for WinServer 2016" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '151/664')
2017-08-31_22:21:14(('SUCCESS: Page', '"Veeam Backup Catalog Service fails to start (Attribute "LastSyncTimeUtc" was not found under the tree "".)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '152/664')
2017-08-31_22:21:14(('SUCCESS: Page', '"sudo and su" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '153/664')
2017-08-31_22:21:16(('SUCCESS: Page', '"T1 to T2 escalation procedure" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '154/664')
2017-08-31_22:21:17(('SUCCESS: Page', '"Frequent "Backup performance data collection failure" alarms" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '155/664')
2017-08-31_22:21:17(('SUCCESS: Page', '"Licensing phone queues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '156/664')
2017-08-31_22:21:18(('SUCCESS: Page', '"North Eastern EMEA" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '157/664')
2017-08-31_22:21:19(('SUCCESS: Page', '"Opportunity type description" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '158/664')
2017-08-31_22:21:20(('SUCCESS: Page', '"Windows: fsutil - work directly with NTFS\\FAT File System." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '159/664')
2017-08-31_22:21:20(('SUCCESS: Page', '"Keyboard and mouse are not working in Bare Metal recovery environment" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '160/664')
2017-08-31_22:22:27(('SUCCESS: Page', '"Veeam Backup" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '161/664')
